Timestamp,TotalIn,TotalOut,RateIn,RateOut
2023-03-22 13:35:47,8.1 MB,1.2 MB,23 kB/s,3.5 kB/s
2023-03-22 13:35:48,8.1 MB,1.2 MB,8.5 kB/s,1.3 kB/s
2023-03-22 13:35:49,8.1 MB,1.2 MB,4.9 kB/s,472 B/s
2023-03-22 13:35:50,8.1 MB,1.2 MB,2.3 kB/s,173 B/s
2023-03-22 13:35:51,8.1 MB,1.2 MB,943 B/s,1.5 kB/s
2023-03-22 13:35:52,8.3 MB,1.2 MB,73 kB/s,9.1 kB/s
2023-03-22 13:35:53,8.3 MB,1.2 MB,38 kB/s,4.5 kB/s
2023-03-22 13:35:54,8.3 MB,1.2 MB,14 kB/s,1.6 kB/s
2023-03-22 13:35:55,8.3 MB,1.2 MB,5.3 kB/s,604 B/s
2023-03-22 13:35:56,8.3 MB,1.2 MB,2.0 kB/s,222 B/s
2023-03-22 13:35:57,8.3 MB,1.2 MB,891 B/s,1.6 kB/s
2023-03-22 13:35:58,8.4 MB,1.2 MB,60 kB/s,7.5 kB/s
2023-03-22 13:35:59,8.4 MB,1.3 MB,43 kB/s,6.7 kB/s
2023-03-22 13:36:00,8.4 MB,1.3 MB,19 kB/s,3.0 kB/s
2023-03-22 13:36:01,8.4 MB,1.3 MB,7.2 kB/s,1.1 kB/s
2023-03-22 13:36:03,8.4 MB,1.3 MB,2.9 kB/s,401 B/s
2023-03-22 13:36:04,8.4 MB,1.3 MB,2.7 kB/s,147 B/s
2023-03-22 13:36:05,8.4 MB,1.3 MB,1.2 kB/s,2.1 kB/s
2023-03-22 13:36:06,8.5 MB,1.3 MB,54 kB/s,7.6 kB/s
2023-03-22 13:36:07,8.5 MB,1.3 MB,37 kB/s,5.8 kB/s
2023-03-22 13:36:08,8.6 MB,1.3 MB,53 kB/s,8.2 kB/s
2023-03-22 13:36:09,8.7 MB,1.3 MB,55 kB/s,7.1 kB/s
2023-03-22 13:36:10,8.8 MB,1.3 MB,60 kB/s,9.7 kB/s
2023-03-22 13:36:11,8.9 MB,1.3 MB,94 kB/s,12 kB/s
2023-03-22 13:36:12,8.9 MB,1.3 MB,66 kB/s,8.4 kB/s
2023-03-22 13:36:13,9.0 MB,1.3 MB,72 kB/s,10 kB/s
2023-03-22 13:36:14,9.1 MB,1.3 MB,73 kB/s,9.8 kB/s
2023-03-22 13:36:15,9.1 MB,1.4 MB,76 kB/s,11 kB/s
2023-03-22 13:36:17,9.2 MB,1.4 MB,90 kB/s,11 kB/s
2023-03-22 13:36:18,9.3 MB,1.4 MB,80 kB/s,13 kB/s
2023-03-22 13:36:19,9.4 MB,1.4 MB,74 kB/s,11 kB/s
2023-03-22 13:36:20,9.4 MB,1.4 MB,64 kB/s,9.4 kB/s
2023-03-22 13:36:21,9.5 MB,1.4 MB,43 kB/s,7.3 kB/s
2023-03-22 13:36:22,9.6 MB,1.4 MB,46 kB/s,6.4 kB/s
2023-03-22 13:36:23,9.7 MB,1.4 MB,68 kB/s,9.2 kB/s
2023-03-22 13:36:24,9.7 MB,1.4 MB,51 kB/s,7.6 kB/s
2023-03-22 13:36:25,9.7 MB,1.4 MB,51 kB/s,7.2 kB/s
2023-03-22 13:36:26,9.8 MB,1.4 MB,36 kB/s,5.9 kB/s
2023-03-22 13:36:27,9.8 MB,1.5 MB,29 kB/s,5.4 kB/s
2023-03-22 13:36:28,9.9 MB,1.5 MB,56 kB/s,7.4 kB/s
2023-03-22 13:36:29,9.9 MB,1.5 MB,47 kB/s,6.0 kB/s
2023-03-22 13:36:30,10 MB,1.5 MB,53 kB/s,7.5 kB/s
2023-03-22 13:36:32,10 MB,1.5 MB,39 kB/s,5.5 kB/s
2023-03-22 13:36:33,10 MB,1.5 MB,42 kB/s,5.9 kB/s
2023-03-22 13:36:34,10 MB,1.5 MB,20 kB/s,2.4 kB/s
2023-03-22 13:36:35,10 MB,1.5 MB,20 kB/s,3.2 kB/s
2023-03-22 13:36:36,10 MB,1.5 MB,25 kB/s,3.8 kB/s
2023-03-22 13:36:37,10 MB,1.5 MB,46 kB/s,6.0 kB/s
2023-03-22 13:36:38,10 MB,1.5 MB,42 kB/s,6.1 kB/s
2023-03-22 13:36:39,10 MB,1.5 MB,42 kB/s,5.1 kB/s
2023-03-22 13:36:40,10 MB,1.5 MB,39 kB/s,5.6 kB/s
2023-03-22 13:36:41,10 MB,1.5 MB,36 kB/s,5.8 kB/s
2023-03-22 13:36:42,10 MB,1.5 MB,40 kB/s,5.3 kB/s
2023-03-22 13:36:43,10 MB,1.5 MB,53 kB/s,7.8 kB/s
2023-03-22 13:36:44,10 MB,1.6 MB,62 kB/s,8.4 kB/s
2023-03-22 13:36:46,10 MB,1.6 MB,50 kB/s,8.3 kB/s
2023-03-22 13:36:47,11 MB,1.6 MB,47 kB/s,5.8 kB/s
2023-03-22 13:36:48,11 MB,1.6 MB,31 kB/s,3.8 kB/s
2023-03-22 13:36:49,11 MB,1.6 MB,40 kB/s,4.2 kB/s
